alaika,pala,asmenot,rkkot,filter_$
29,40,4140,41000,1
19,70,7224,35000,1
9,74,6600,119000,0
14,60,13200,29500,1
4,105,4500,143500,0
6,137,6360,117500,0
5,180,13800,310000,1
0,36,6252,100000,0
4,60,13200,133000,0
4,78,6084,79000,1
6,87,8868,142000,0
15,51,5400,130000,0
4,33,4584,140000,1
42,77,9300,62000,0
7,31,6000,25500,0
2,35,2100,53000,0
14,32,7536,36500,1
7,55,6360,73000,0
4,60,16884,64500,1
13,78,14400,98000,0
12,75,18360,100000,0
12,60,12600,54000,0
10,60,14400,195000,0
6,75,17760,116500,0
6,85,24000,94500,1
5,150,9852,133500,0
15,140,7200,150000,1
9,124,6876,159000,1
19,40,7320,118500,0
26,107,7200,158000,1
9,120,6636,118000,0
7,104,7764,122500,1
2,63,6000,129500,1
4,50,14400,119000,1
13,82,2400,212000,1
15,80,13200,131000,1
36,80,6480,84000,0
5,81,10800,65000,1
5,33,6408,128000,1
0,50,7716,132500,0
19,75,6240,121500,0
2,59,6000,84500,0
1,94,22800,121000,1
60,220,12000,166000,1
0,59,6000,64000,1
8,73,7200,129000,1
9,57,14640,69000,1
1,87,32400,160000,0
0,70,12000,11500,0
12,140,9600,136500,0
0,60,18000,127500,0
4,59,15600,104500,1
16,73,12000,131000,1
6,78,13572,97500,1
1,119,9600,117500,1
14,82,7344,127500,0
15,91,10200,140500,1
14,99,11808,153000,0
4,65,5040,89000,0
6,105,4980,139000,1
31,56,6960,61500,0
0,60,4800,98500,0
0,51,6000,118000,0
8,133,12000,146500,1
69,34,1020,37500,1
0,76,15240,98500,1
11,33,3576,22000,1
24,87,18000,83500,1
38,78,7200,121000,0
33,98,3120,40000,0
15,95,12000,174500,1
16,152,4020,184000,1
2,85,5760,68000,0
1,95,5196,140000,1
15,80,792,82500,1
20,160,12900,97500,0
0,70,6600,110500,1
17,25,4176,35000,0
38,75,576,59500,0
0,55,12000,37000,1
17,57,11160,113000,0
30,29,4896,29000,1
5,34,2856,37000,0
4,76,15000,127500,0
7,90,13164,50000,1
5,150,24000,200000,0
5,96,16680,110000,0
25,53,5400,101500,0
2,64,11400,49000,0
5,63,11400,114000,0
17,85,6360,62500,0
4,82,14400,171500,1
5,46,9600,113500,0
3,101,11640,167000,0
3,116,7200,192500,1
48,120,7296,87500,0
0,102,5400,99000,0
13,84,408,83500,0
0,35,7608,74000,0
10,24,0,11500,0
57,86,5592,93500,1
13,57,6000,38500,0
1,40,5568,9500,0
6,14,0,27000,1
4,112,3384,130500,0
2,90,5640,118000,0
30,50,6000,42000,0
4,150,7536,203000,0
21,117,6000,161500,0
3,77,16200,124000,0
1,70,13200,122000,1
12,72,10680,240000,0
1,47,6600,108500,0
18,78,6000,61500,0
3,98,4260,132500,1
4,83,5040,79000,1
1,83,6960,76500,0
3,200,6264,151500,0
33,120,1560,91000,0
13,120,4800,98500,0
54,43,3600,29000,0
2,75,9000,154000,0
8,120,6720,140000,0
42,104,900,139000,0
34,120,5100,100500,1
0,59,14076,69500,1
16,70,7200,102000,1
11,62,0,94000,0
18,105,9600,151500,1
41,150,2208,58500,0
9,220,0,118000,0
1,94,5100,71000,0
18,125,2196,126000,0
19,80,9120,76500,1
38,60,0,36000,1
41,112,6852,29000,1
55,60,3876,69000,0
21,120,11916,162500,0
21,150,6696,148500,0
24,100,3792,125500,1
2,93,2892,134500,0
29,50,5412,42000,1
32,120,9540,80000,0
21,60,10200,90500,0
3,51,6600,105500,1
5,80,6720,51500,0
18,80,6108,75500,1
14,155,924,23000,0
17,110,7200,142000,0
13,68,7200,64000,1
3,42,4800,111000,0
36,90,4020,88000,1
11,51,8760,90000,0
0,152,7260,127500,0
23,75,5664,100000,0
21,75,8160,73000,1
13,50,10200,48500,0
12,57,9000,90000,1
6,73,16560,75500,0
6,117,6000,108000,1
14,100,4800,113000,0
38,60,3264,37000,1
10,30,3456,91000,1
35,95,5892,58000,0
49,119,10044,101000,1
29,100,4296,116000,0
0,89,9480,33500,1
21,180,8124,44500,1
0,59,14400,63500,0
58,120,3192,75000,0
70,20,2568,68000,0
39,28,5040,29500,1
14,106,6600,98500,1
0,56,9600,60000,1
15,80,4872,42500,0
7,86,9504,103500,1
15,53,11400,105500,0
2,78,6264,169000,1
16,28,2760,32500,0
11,66,7716,101500,1
2,52,8760,73500,1
57,60,12000,76000,1
1,54,5568,37000,1
