a1,a2,q21,q23,k16_1,k16_2,k16_3,k16_4,k16_5,k16_6,k16_7,k16_8,k16_9,k16_10,k16_11,k16_12,k22,k23,d1,d2,d3_1,d3_2,d4,d10,d32,filter_$
5054,2209,3,1, , , , , , , , , , , , ,2,1,1964,2,4,6,3,1,1,0
5053,2209,2,1, , , , , , , , , , , , ,3,1,1959,1,4,6,2,1,1,0
5052,2209,1,1,3,3,3,3,3,3,3,3,2,3,3,2, , ,1944,1,4,3,1,7,1,1
5051,2209,3,2, , , , , , , , , , , , ,2,2,1982,2,2,2,1,6,1,0
5050,2209,2,1, , , , , , , , , , , , ,2,2,1950,2,4,6,3,1,1,1
5049,2209,3,1, , , , , , , , , , , , ,2,2,1947,2,2,2,4,7,1,1
5065,2209,2,1, , , , , , , , , , , , ,2,1,1956,1,4,6,4,2,1,1
5048,2209,2,1, , , , , , , , , , , , ,3,1,1957,2,4,6,1,1,1,1
5047,2209,2,1, , , , , , , , , , , , ,2,1,1984,1,4,2,2,1,1,1
419002,5762,2,1, , , , , , , , , , , , ,3,1,1946,2,1,2,1,2,1,1
197090,5762,3,8, , , , , , , , , , , , ,2,2,1969,2,4,1,1,1,1,0
5071,2209,3,1, , , , , , , , , , , , ,2,1,1948,2,4,3,1,8,1,1
5069,2209,3,1, , , , , , , , , , , , ,1,2,1959,2,4,3,2,4,2,1
197096,5762,3,1, , , , , , , , , , , , ,2,2,1953,2,2,3,2,1,1,1
197095,5762,2,1, , , , , , , , , , , , ,3,1,1932,2,4,4,2,7,1,1
197094,5762,3,1, , , , , , , , , , , , ,2,1,1966,1,4,6,1,1,1,1
197093,5762,3,2, , , , , , , , , , , , ,1,1,1962,2,4,4,4,1,1,1
197092,5762,2,1, , , , , , , , , , , , ,3,1,1985,2,4,6,1,6,1,1
197091,5762,3,1, , , , , , , , , , , , ,2,2,1945,1,4,6,1,7,1,0
482028,228,2,1, , , , , , , , , , , , ,2,2,1961,2,4,6,1,8,1,0
482029,228,2,1, , , , , , , , , , , , ,3,2,1943,2,4,3,2,7,1,1
482030,228,2,1, , , , , , , , , , , , ,3,1,1945,1,2,2,1,7,1,0
 , , , , , , , , , , , , , , , , , , , , , , , , ,0
482033,228,3,1, , , , , , , , , , , , ,3,2,1955,1,2,3,4,5,2,1
482032,228,2,1, , , , , , , , , , , , ,2,2,1946,2,4,6,2,7,1,1
473001,228,2,1, , , , , , , , , , , , ,2,1,1966,1,4,6,2,1,1,1
473002,228,3,1, , , , , , , , , , , , ,3,2,1968,1,2,4,1,1,1,1
473005,228,2,1, , , , , , , , , , , , ,3,1,1957,2,2,3,4,1,1,0
482025,228,3,1, , , , , , , , , , , , ,3,1,1956,2,2,3,2,1,1,0
482024,228,2,3, , , , , , , , , , , , ,3,2,1990,2,4,4,1,2,1,1
482023,228,1,2,2,1,3,3,3,3,2,3,1,3,3,3, , ,1984,1,2,2,3,6,2,0
482021,228,3,1, , , , , , , , , , , , ,2,1,1983,1,4,5,3,1,1,1
482020,228,2,1, , , , , , , , , , , , ,2,1,1984,2,4,5,3,1,1,0
482019,228,3,1, , , , , , , , , , , , ,2,1,1983,2,2,5,3,1,1,0
482026,228,2,2, , , , , , , , , , , , ,2,1,1954,2,2,2,4,1,1,1
482027,228,3,1, , , , , , , , , , , , ,3,1,1951,1,4,3,2,1,1,0
482018,228,3,1, , , , , , , , , , , , ,2,1,1958,2,4,6,4,1,1,0
482017,228,2,1, , , , , , , , , , , , ,3,2,1966,2,4,6,2,1,1,1
482016,228,3,1, , , , , , , , , , , , ,3,1,1968,2,4,3,2,1,1,1
482015,228,2,1, , , , , , , , , , , , ,3,2,1964,1,4,3,1,5,2,0
482012,228,2,1, , , , , , , , , , , , ,2,1,1983,2,4,6,3,1,1,0
482011,228,2,1, , , , , , , , , , , , ,3,1,1958,1,4,7,1,1,1,1
482010,228,2,1, , , , , , , , , , , , ,3,2,1974,1,4,3,1,1,1,1
482009,228,2,1, , , , , , , , , , , , ,3,1,1958,2,2,2,4,3,2,1
482008,228,3,1, , , , , , , , , , , , ,2,1,1946,1,2,2,1,7,1,1
482007,228,3,1, , , , , , , , , , , , ,2,1,1962,1,4,6,2,1,1,0
482006,228,3,1, , , , , , , , , , , , ,4,1,1974,2,2,6,4,1,1,0
482005,228,3,1, , , , , , , , , , , , ,3,1,1950,1,1,2,2,1,1,0
473011,228,2,1, , , , , , , , , , , , ,3,1,1932,1,4,6,2,7,1,0
473009,228,2,1, , , , , , , , , , , , ,3,1,1946,1,2,3,2,8,1,1
473010,228,3,2, , , , , , , , , , , , ,2,1,1983,2,4,6,3,1,1,0
473008,228,2,1, , , , , , , , , , , , ,2,3,1979,1,4,6,1,1,1,1
473007,228,2,1, , , , , , , , , , , , ,3,2,1989,2,4,4,3,2,2,1
473006,228,1,2,3,3,1,3,3,3,3,3,1,3,3,3, , ,1945,2,1,2,5,7,1,0
482004,228,2,2, , , , , , , , , , , , ,1,2,1981,2,2,2,1,2,2,0
2001,228,3,1, , , , , , , , , , , , ,3,1,1971,2,4,3,2,1,1,0
482003,228,3,1, , , , , , , , , , , , ,3,1,1978,2,4,6,3,11,1,1
482002,228,3,1, , , , , , , , , , , , ,3,1,1966,2,4,6,4,1,1,0
498017,5761,5,8, , , , , , , , , , , , , , ,1967,2,1,7,6,1,1,0
498018,5761,2,1, , , , , , , , , , , , ,2,1,1941,1,2,2,2,7,1,0
498019,5761,3,1, , , , , , , , , , , , ,3,2,1953,1,1,2,2,1,1,0
498020,5761,1,1,3,3,1,3,3,3,3,3,3,3,3,3, , ,1977,1,4,4,2,1,1,1
498014,5761,1,2,4,4,4,4,4,4,4,4,4,4,4,4, , ,1955,2,1,2,6,1,1,0
498013,5761,3,1, , , , , , , , , , , , ,3,2,1932,2,1,2,2,7,1,1
498011,5761,1,3,1,1,3,3,3,2,3,3,1,3,3,3, , ,1989,2,2,2,1,5,2,1
498001,5761,2,1, , , , , , , , , , , , ,1,1,1943,2,1,2,2,7,1,1
498002,5761,2,1, , , , , , , , , , , , ,3,2,1941,2,1,2,2,7,1,0
498003,5761,3,3, , , , , , , , , , , , ,2,1,1990,1,2,7,1,6,2,1
